"id_externo","titulo","url","marca","modelo","ano","km","preco","cidade","estado","vendedor_tipo","telefone","whatsapp","regiao_busca"
"1528070487","Chery Tiggo 8 MAX Drive 1.6 Turbo Aut. 2024","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/chery-tiggo-8-max-drive-1-6-turbo-aut-2024-1528070487","Chery","Tiggo 8",2024,46200,150880.0,"Jaboatão dos Guararapes","PE","desconhecido","","","Jaboatao (Candeias/Piedade)"
"1529676639","Renault Kwid 1.0 Zen 2026","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/renault-kwid-1-0-zen-2026-1529676639","Renault","Kwid",2026,28716,65190.0,"Jaboatão dos Guararapes","PE","desconhecido","","","Jaboatao (Candeias/Piedade)"
"1529676635","Nissan Kicks Sense 1.6 16V Flex AUT 2024","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-sense-1-6-16v-flex-aut-2024-1529676635","Nissan","Kicks",2024,42938,108090.0,"Jaboatão dos Guararapes","PE","desconhecido","","","Jaboatao (Candeias/Piedade)"
"1530631990","Fiat Pulse Audace 1.0 Turbo 200 Flex Aut. 2023","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/fiat-pulse-audace-1-0-turbo-200-flex-aut-2023-1530631990","Fiat","Pulse",2023,34771,105090.0,"Jaboatão dos Guararapes","PE","desconhecido","","","Jaboatao (Candeias/Piedade)"
"1531488501","Toyota Corolla Altis Prem. Hybrid 1.8 Flex AUT 2022","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-altis-prem-hybrid-1-8-flex-aut-2022-1531488501","Toyota","Corolla",2022,52434,139990.0,"Jaboatão dos Guararapes","PE","desconhecido","","","Jaboatao (Candeias/Piedade)"
"1531489561","Chevrolet Onix Activ 1.4 8V Flex Aut. 4P 2019","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-activ-1-4-8v-flex-aut-4p-2019-1531489561","Chevrolet","Onix",2019,64643,69990.0,"Jaboatão dos Guararapes","PE","desconhecido","","","Jaboatao (Candeias/Piedade)"
"1531530297","Volkswagen Fox Xtreme 1.6 Flex 8V 5P 2019","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-fox-xtreme-1-6-flex-8v-5p-2019-1531530297","Volkswagen","Fox",2019,29324,64990.0,"Jaboatão dos Guararapes","PE","desconhecido","","","Jaboatao (Candeias/Piedade)"
"1530625047","Jeep Renegade Longitude 2.0 4X4 TB Diesel AUT 2019","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-longitude-2-0-4x4-tb-diesel-aut-2019-1530625047","Jeep","Renegade",2019,89200,86900.0,"Jaboatão dos Guararapes","PE","desconhecido","","","Jaboatao (Candeias/Piedade)"
"1526345615","Jeep Compass Long. T270 1.3 TB 4X2 Flex AUT 2022","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-long-t270-1-3-tb-4x2-flex-aut-2022-1526345615","Jeep","Compass",2022,47059,108990.0,"Jaboatão dos Guararapes","PE","desconhecido","","","Jaboatao (Candeias/Piedade)"
"1533275509","Ford Ranger XLT 2.5 4X4 CS TB Diesel 2001","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-xlt-2-5-4x4-cs-tb-diesel-2001-1533275509","Ford","Ranger",2001,298000,33000.0,"Jaboatão dos Guararapes","PE","desconhecido","","","Jaboatao (Candeias/Piedade)"
"1530633490","Volkswagen Kombi Lotação 1.6 MPI 1999","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-kombi-lotacao-1-6-mpi-1999-1530633490","Volkswagen","Kombi",1999,90000,32000.0,"Olinda","PE","desconhecido","","","Olinda"
"1525249022","Peugeot 208 Active Pack 1.6 Flex 16V 5P Aut. 2021","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/peugeot-208-active-pack-1-6-flex-16v-5p-aut-2021-1525249022","Peugeot","208",2021,70500,68990.0,"Olinda","PE","desconhecido","","","Olinda"
"1530293293","Hyundai Creta Prestige 2.0 16V Flex Aut. 2020","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/hyundai-creta-prestige-2-0-16v-flex-aut-2020-1530293293","Hyundai","Creta",2020,82683,85900.0,"Olinda","PE","desconhecido","","","Olinda"
"1529668927","Volkswagen Polo Track 1.0 Flex 12V 5P 2024","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-track-1-0-flex-12v-5p-2024-1529668927","Volkswagen","Polo",2024,48465,66990.0,"Olinda","PE","desconhecido","","","Olinda"
"1518195622","Nissan Kicks Sense 1.6 16V Flex AUT 2024","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-sense-1-6-16v-flex-aut-2024-1518195622","Nissan","Kicks",2024,22400,113190.0,"Olinda","PE","desconhecido","","","Olinda"
"1525784499","Fiat Fiorino Endurance EVO 1.4 Flex 8V 2P 2021","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/fiat-fiorino-endurance-evo-1-4-flex-8v-2p-2021-1525784499","Fiat","Fiorino",2021,146000,70900.0,"Olinda","PE","desconhecido","","","Olinda"
"1525199702","Fiat Uno WAY 1.0 EVO Fire Flex 8V 5P 2013","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-way-1-0-evo-fire-flex-8v-5p-2013-1525199702","Fiat","Uno",2013,138172,35900.0,"Olinda","PE","desconhecido","","","Olinda"
"1514453013","Ford Fiesta 1.0 Rocam SE Plus Hatch 8V Flex 4P Manual 2014","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-1-0-rocam-se-plus-hatch-8v-flex-4p-manual-2014-1514453013","Ford","Fiesta",2014,134782,31900.0,"Olinda","PE","desconhecido","","","Olinda"
"1533251786","Renault Logan Expression Hi-flex 1.6 8V 4P 2008","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/renault-logan-expression-hi-flex-1-6-8v-4p-2008-1533251786","Renault","Logan",2008,140000,15500.0,"Olinda","PE","desconhecido","","","Olinda"
"1523019032","Ford Fiesta SEL 1.6 16V Flex Mec. 5P 2019","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-sel-1-6-16v-flex-mec-5p-2019-1523019032","Ford","Fiesta",2019,121620,58990.0,"Olinda","PE","desconhecido","","","Olinda"
"1526255490","Chevrolet Spin LT 1.8 8V Econo.flex 5P Aut. 2014","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-spin-lt-1-8-8v-econo-flex-5p-aut-2014-1526255490","Chevrolet","Spin",2014,170000,32000.0,"Paulista","PE","desconhecido","","","Paulista"
"1533284795","Fiat Cronos Drive 1.3 8V Flex 2019","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/fiat-cronos-drive-1-3-8v-flex-2019-1533284795","Fiat","Cronos",2019,73100,56040.0,"Paulista","PE","desconhecido","","","Paulista"
"1525479315","Citroen C3 Excl. 1.6 VTI Flex Start 16V 5P Aut. 2019","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-excl-1-6-vti-flex-start-16v-5p-aut-2019-1525479315","Citroën","C3",2019,53450,52990.0,"Paulista","PE","desconhecido","","","Paulista"
"1533240047","Ford KA 1.0 Se/se Plus Tivct Flex 5P 2016","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-0-se-se-plus-tivct-flex-5p-2016-1533240047","Ford","Ka",2016,205604,28500.0,"Paulista","PE","desconhecido","","","Paulista"
"1533232493","Volkswagen Polo Track 1.0 Flex 12V 5P 2026","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-track-1-0-flex-12v-5p-2026-1533232493","Volkswagen","Polo",2026,15000,79130.0,"Paulista","PE","desconhecido","","","Paulista"
"1528636511","Volkswagen Virtus 1.6 MSI Flex 16V 5P Mec. 2020","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-virtus-1-6-msi-flex-16v-5p-mec-2020-1528636511","Volkswagen","Virtus",2020,59560,69500.0,"Paulista","PE","desconhecido","","","Paulista"
"1533201743","Volkswagen Gol Geração IV Trend 1.0 8V MI Total Flex Mec. 2P 2009","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-gol-geracao-iv-trend-1-0-8v-mi-total-flex-mec-2p-2009-1533201743","Volkswagen","Gol",2009,218000,12500.0,"Paulista","PE","desconhecido","","","Paulista"
"1533195050","Jeep Renegade Long. T270 1.3 TB 4X2 Flex Aut. 2024","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-long-t270-1-3-tb-4x2-flex-aut-2024-1533195050","Jeep","Renegade",2024,57000,92000.0,"Paulista","PE","desconhecido","","","Paulista"
"1533193787","Jeep Renegade Long. T270 1.3 TB 4X2 Flex Aut. 2024","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-long-t270-1-3-tb-4x2-flex-aut-2024-1533193787","Jeep","Renegade",2024,56000,91500.0,"Paulista","PE","desconhecido","","","Paulista"
"1526955172","Chery Arrizo 6 GSX 1.5 Turbo Flex AUT 2021","https://pe.olx.com.br/grande-recife/autos-e-pecas/carros-vans-e-utilitarios/chery-arrizo-6-gsx-1-5-turbo-flex-aut-2021-1526955172","Chery","Arrizo 6",2021,62000,70000.0,"Paulista","PE","desconhecido","","","Paulista"
